image_name,Captions,Label
fb 1424.jpg,নিজের রাজ্যের সমস্যাগুলো মুখ খুলতে বা সেগুলো সমাধান করতে পারবো না হিপোক্রিটের মতো পার্লামেন্ট এবং টুইটারে গরম গরম ভাষণ দিতে হলে ডাকিস। আমি সবসময় ফ্রি আছি।,political aggression
in 488.jpg,একটা যুবরাজ দেখান তো! সস্তার কিছু দেখান...,political aggression
tangaila (327).jpg,"কিস ডে কিস দিবি না কপিলা ? তুই ব্লাশ করস না, তোর মুখে গন্ধ",non-aggressive
in 608.jpg,বর্ষসেরা ভোজনরসিক (কেবল ভোটের সময় খেতে আসেন) শাহ'জি,political aggression
ovodro_img (351).jpg,পার্থক্য বুঝুন এটায় ধোন খাঁড়া হয় আর এটায় লোম,gendered aggression
fb 1304.jpg,আমার ছেলে বড় হয়ে ব্লগিং করবে !,others
Halal Memes (92).jpg,"রাতে আব্বু বাসায় আসার পর, ছোট ভাই/ বোন: আব্বু ! ভাইয়া আমাকে",non-aggressive
fb 1650.jpg,"""সায়েন্স বা মেডিকেল পড়ুয়ারা নয়, নাস্তিক হয় ড্রপ আউট কিংবা কলা অনুষদে পড়ুয়া উঁচু মানের বিগ্যানীরা""",religious aggression
tangaila (199).jpg,তোর জন্য একটা মোবাইল কিনছি কি মোবাইল এই যে... মার শালারে...,non-aggressive
blog 338.jpg,ধর্ম উপাসনালয়ের দৃষ্টিতে খ্রিষ্টানের দৃষ্টিতে মুসলিমের দৃষ্টিতে রাজনীতিবিদের দৃষ্টিতে বৈজ্ঞানিকের দৃষ্টিতে বাস্তব অর্থে,religious aggression
fb 964.jpg,ওহ শিট টাকা দিয়াও কোয়ালিফাই করতে পারলামনা,others
in 327.jpg,আপনারা কারা? আমরা দিদির দূত দিদির ভূত? ভূত নয় দূত,political aggression
blog 260.jpg,"ইসলামের শিক্ষা ছড়িয়ে দিতে হবে।।... আল্যাহু আকবার! ""জঙ্গিবাদ দমনে শিক্ষক সমাজের করণীয়"" শীর্ষক আলোচনাসভায় শিক্ষামন্ত্রী নুরুল ইসলাম নাহিদ",religious aggression
blog 219.jpg,"নাস্তিকতা সম্পর্কে ভুল ধারণা আপনি নাস্তিক, কারণ আপনি ঈশ্বরকে ঘৃণা করেন। আমি আপনার ""ঈশ্বরকে"" ততোটাই ঘৃণা করি, যতোটা আপনি করেন বিগফুট-কে। বিগফুট-কে আমি ঘৃণা করতে পারি না, কারণ ওটা কাল্পনিক চরিত্র। বাস্তবতার জগতে স্বাগতম ।",religious aggression
in 119.jpg,আন্টি ওরে নিয়ে যাই শহীদ মিনারে ফুল দিয়ে চলে আসবো,non-aggressive
KAM (194).jpg,জান একটা কথা বলি বলো চলো নারায়গঞ্জ যাই তোমাকে না বলছি আমাকে ভয় দেখাবা না,others
fb 1909.jpg,কঠিন অধ্যবসায় এবং অক্লান্ত পরিশ্রমে সব সম্ভব,gendered aggression
fb 760.jpg,স্কুলের ১২০০ টাকা বেতন যে কিভাবে দিবো আব্বু তো বেতন পায় না তিন মাস থেকে আল্লাহ তুমি ১২০০ টাকার ব্যবস্থা করাই দাও প্লিজ না ছেলেটা আর্থিক সমস্যায় আছে কাল ওরে কিছু টাকা দিয়ে সাহায্য করবো বাবা এই ১০০০ টাকা রাখো তোমার বেতন দিতে কাজে লাগবে কিন্তু আমি তো আল্লাহর থেকে ১২০০ টাকা চাইছি তার মানে আপনি বাকি ২০০ টাকা মেরে দিয়েছেন,others
fb 1856.jpg,বয়ফ্রেন্ড বেস্টফ্রেন্ড,gendered aggression
ovodro_img (675).jpg,তাই দুপুর বেলাতে ঘুমিও,non-aggressive
fb 487.jpg,কিরে খনিকের পুতেরা? এখন বল আমি বেশি হট নাকি নোরা ফাতেহি বেশি হট?,others
ovodro_img (5).jpg,ও মতু ও মতু আই ন্যাব ইউ আই ন্যাব ইউ শালা মতু তোর বাবা,others
ovodro_img (23).jpg,এত জ্যাম । কী করব বুঝতে পারছি না । একটু তেল লাগিয়ে নাও,non-aggressive
blog 500.jpg,চাঁদ পৃথিবী শুক্রু সূর্য মঙ্গল জ্যোতির্বিজ্ঞান আব্রাহাম্মক ধর্মগুলোর মতে,religious aggression
KAM (46).jpg,"পোলাপাইনের রি-অ্যাকশন যখন ক্লাসের সবচেয়ে সুন্দরী মেয়েটি, ""ইন এ রিলেশনশীপ"" হয়ে যায়",non-aggressive
fb 587.jpg,এই শীতে অন্যরা : অমি*,non-aggressive
fb 1606.jpg,"মুসলিম দুই প্রকার হিজাব ইসলামের বিধান-তাই নিজেকে মুসলিম দাবি করলে হিজাব পরুন প্রকৃত মুসলিম হিজাব পরা আর বস্তায় বন্দি হওয়া একি কথা, হিজাব ছারাই কত সুন্দর লাগে, হিজাব মেয়েদের স্বাধীনতা কেড়ে নেয়, মুসলিম লেবাস ধারী নাাস্তিক",religious aggression
fb 1725.jpg,হিন্দুদের যখন আপনি গোমুতখেকো বলেন *হিন্দুত্ববাদী: আপনি জানেন না যে নাষা গোমুত কে উপকারী বলেছে |,religious aggression
in 544.jpg,রবীন্দ্রনাথ বেঁচে থাকলে নিজের হাতে মমতাকে পুরস্কৃত করতেন: শুভাপ্রসন্ন কুচুটে আমার নোবেলটাও ওনাকে দিয়ে দিতাম...,political aggression
fb 1537.jpg,নাস্তিকরা যে ভাবে তাদের যুক্তিকে ন্যায়সঙ্গত করে !,religious aggression
ovodro_img (312).jpg,ভাড়া দেন তো বৌদি দেখি বৌদি আপনার টা,non-aggressive
KAM (270).jpg,সম্প্রতি এক গবেষণায় প্রমাণিত হয়েছে যে... ঘুমের ট্যাবলেট এর চেয়ে পড়ার টেবিল বেশি কার্যকরী!,non-aggressive
fb 1836.jpg,কোরবানির গরু আমি,gendered aggression
KAM (93).jpg,আসলে কলকাতায় অনেক গরম তাই ম্যাচ-টা তাড়াতাড়ি শেষ করলাম,others
fb 1891.jpg,"কি ভাই ? এভাবে কি দেখেন? হিংসা হয়? আপনিইতো বলেছিলেন, বিটিএস আর মেয়েদের পিরিয়ড নিয়ে রচনা লিখে কোনো লাভ হবে না",gendered aggression
tangaila (34).jpg,এরকম গন্ধ তো আমার বয়ফ্রেন্ড এর গা থেকেও পাওয়া যায় হ্যাঁ জানি,non-aggressive
fb 961.jpg,দেখ বন্ধু তোর গার্লফ্রেন্ড টারে আমাকে দিয়ে দে তুইতো জানিসই 'ভোগে নয়; ত্যাগেই প্রকৃত সুখা',gendered aggression
blog 51.jpg,বিজ্ঞান বোঝার মতোন বুদ্ধি মাথায় নাই? তাইলে ধর্মই ভরসা !,religious aggression
fb 2021.jpg,এক জোড়া হাস,others
fb 251.jpg,আমি ইচ্ছা কইরাই অনলাইন ক্লাস করি নাই আমার গুষ্টিতে একজনও করে নাই | আমার নানার গুষ্টিতেও করে নাই আমার পাশ্ববর্তী এলাকার কেউ করে নাই | আমি অনলাইন ক্লাস কইরা নিজে ফেইল করমু না কি?,non-aggressive
Bangla Thug Life (305).jpg,বিয়ের পর যখন বাসর রাত সম্পর্কে জ্ঞান দিতে আসে আত্মীয়রা আমি: আরে কাকে খেলা শিখান ?,non-aggressive
